Pressure (atm),Temperature (K),P1_SymmetryFactor_1_P1->W1,W2_Energy_1_P1->W1,B4_Energy_1_P1->W1,W1_Frequencies_1_P1->W1,P2_SymmetryFactor_1_P1->W1,B5_ImaginaryFrequency_1_P1->W1,W1_Energy_1_P1->W1,B4_ImaginaryFrequency_1_P1->W1,B5_Frequencies_1_P1->W1,P2_Energy_1_P1->W1,B4_Frequencies_1_P1->W1,P2_Frequencies_1_P1->W1,B4_SymmetryFactor_1_P1->W1,P1_Frequencies_1_P1->W1,W1_SymmetryFactor_1_P1->W1,B5_SymmetryFactor_1_P1->W1,B5_Energy_1_P1->W1,W2_Frequencies_1_P1->W1,W2_SymmetryFactor_1_P1->W1,P1_Energy_1_P1->W1
10.0,1385.0,1.0000002748335617,0.0,-0.3627399130090895,0.0,0.0,0.0007012006726062333,0.0,0.17141176090180327,-0.02957845208168926,0.0,-3.371059446644391,0.0,-0.992599986079292,2.0912834695508,0.0,-0.007030741963261553,-0.0005750772000377577,0.0,0.0,0.36333647308984385
10.0,1390.0,1.00000026403309,0.0,-0.3614131090806815,0.0,0.0,0.0007258415622553051,0.0,0.17011426860969775,-0.02893954753519398,0.0,-3.3761227823764943,0.0,-0.9927360633240944,2.095926306909834,0.0,-0.006899081185922706,-0.0005940201511522896,0.0,0.0,0.36202950163286757
10.0,1395.0,1.0000002535504902,0.0,-0.3600952591577697,0.0,0.0,0.0007506768638299243,0.0,0.1688311008325166,-0.028299795667876437,0.0,-3.3811633370218828,0.0,-0.9928718134548741,2.1005486975901353,0.0,-0.006767621483836696,-0.0006133707127214795,0.0,0.0,0.36073189918683807
10.0,1400.0,1.0000002433770994,0.0,-0.3587862680083535,0.0,0.0,0.0007756957290266937,0.0,0.1675620478116938,-0.02766000176295532,0.0,-3.386180240353856,0.0,-0.9930070486264498,2.1051507573338646,0.0,-0.006636542194288828,-0.0006331241699784237,0.0,0.0,0.3594435653691198
10.0,1405.0,1.0000002335044904,0.0,-0.3574860418201858,0.0,0.0,0.000800887656193884,0.0,0.16630690361032405,-0.02702093791252156,0.0,-3.3911726640489928,0.0,-0.9931415889884109,2.1097326012249438,0.0,-0.0065060150742957635,-0.0006532758031166903,0.0,0.0,0.35816440122601617
10.0,1410.0,1.0000002239244659,0.0,-0.35619448817316085,0.0,0.0,0.000826242479593859,0.0,0.16506546602997904,-0.026383344173726935,0.0,-3.396139820181139,0.0,-0.9932752624034735,2.114294343691624,0.0,-0.006376204567041997,-0.0006738208900109103,0.0,0.0,0.356894309207433
10.0,1415.0,1.00000021462905,0.0,-0.3549115160123696,0.0,0.0,0.0008517503590147018,0.0,0.16383753652962355,-0.025747929684463256,0.0,-3.401080959768887,0.0,-0.9934079041757027,2.118836098509031,0.0,-0.0062472680589415325,-0.0006947547087959164,0.0,0.0,0.35563319314208114
10.0,1420.0,1.0000002056104835,0.0,-0.35363703562179777,0.0,0.0,0.0008774017697197949,0.0,0.16262292014657714,-0.0251153737401354,0.0,-3.405995371374075,0.0,-0.9935393567882802,2.1233579788016623,0.0,-0.0061193561277256645,-0.0007160725403114152,0.0,0.0,0.35438095821320065
10.0,1425.0,1.0000001968612164,0.0,-0.35237095859865075,0.0,0.0,0.0009031874927243621,0.0,0.16142142541946092,-0.024486326832935303,0.0,-3.410882379749627,0.0,-0.9936694696505168,2.1278600970458665,0.0,-0.005992612781753135,-0.0007377696704139381,0.0,0.0,0.35313751093479745
10.0,1430.0,1.0000001883739034,0.0,-0.3511131978282899,0.0,0.0,0.0009290986053828664,0.0,0.16023286431306516,-0.023861411655220238,0.0,-3.415741344534546,0.0,-0.9937980988535771,2.132342565072289,0.0,-0.0058671756911562465,-0.0007598413921696963,0.0,0.0,0.35190275912837826
10.0,1435.0,1.000000180141396,0.0,-0.3498636674597584,0.0,0.0,0.0009551264722841958,0.0,0.15905705214510038,-0.023241224068075206,0.0,-3.420571658995242,0.0,-0.9939251069348496,2.136805494068309,0.0,-0.005743176410692009,-0.0007822830079255383,0.0,0.0,0.3506766119001716
10.0,1440.0,1.000000172156739,0.0,-0.34862228288188535,0.0,0.0,0.0009812627364385342,0.0,0.15789380751475873,-0.02262633403584474,0.0,-3.425372748810509,0.0,-0.9940503626504581,2.1412489945804323,0.0,-0.005620740595100028,-0.0008050898312658771,0.0,0.0,0.3494589796188228
10.0,1445.0,1.0000001644131633,0.0,-0.34738896069994585,0.0,0.0,0.00100749931074492,0.0,0.15674295223304738,-0.02201728652921917,0.0,-3.4301440708990065,0.0,-0.9941737407556904,2.145673176516704,0.0,-0.005499988206738062,-0.000828257188866232,0.0,0.0,0.3482497738935546
10.0,1450.0,1.0000001569040817,0.0,-0.3461636187128696,0.0,0.0,0.0010338283697359208,0.0,0.15560431125484192,-0.021414602396319055,0.0,-3.434885112287878,0.0,-0.9942951217930601,2.1500781491490746,0.0,-0.005381033716198783,-0.0008517804222383262,0.0,0.0,0.34704890755277634
