    E, kcal/mol    D, mol/kcal       W1a->W1b       W1a->W2a       W1a->W2b        W1a->P1
        30.8041    8.27069e+16    5.07495e+11       0.999992       0.999992    1.66181e+12
        30.9471    8.57335e+16    5.08011e+11       0.999989       0.999989    1.65577e+12
          31.09    8.88608e+16    5.08523e+11       0.999985       0.999985    1.64975e+12
         31.233    9.20919e+16    5.09033e+11       0.999989       0.999989    1.64375e+12
        31.3759    9.54298e+16     5.0954e+11       0.999985       0.999985    1.63778e+12
        31.5189    9.88777e+16    5.10044e+11       0.999986       0.999986    1.63184e+12
        31.6619    1.02439e+17    5.10545e+11        0.99999        0.99999    1.62593e+12
        31.8048    1.06117e+17    5.11043e+11       0.999989       0.999989    1.62003e+12
        31.9478    1.09915e+17    5.11539e+11       0.999989       0.999989    1.61416e+12
        32.0907    1.13837e+17    5.12031e+11       0.999988       0.999988    1.60832e+12
        32.2337    1.17885e+17    5.12521e+11       0.999988       0.999988     1.6025e+12
        32.3766    1.22065e+17    5.13008e+11       0.999989       0.999989    1.59672e+12
        32.5196     1.2638e+17    5.13493e+11       0.999989       0.999989    1.59097e+12
        32.6625    1.30834e+17    5.13974e+11       0.999988       0.999988    1.58524e+12
        32.8055     1.3543e+17    5.14454e+11       0.999989       0.999989    1.57953e+12
        32.9485    1.40174e+17     5.1493e+11       0.999989       0.999989    1.57385e+12
        33.0914    1.45068e+17    5.15404e+11       0.999989       0.999989     1.5682e+12
        33.2344    1.50119e+17    5.15875e+11       0.999988       0.999988    1.56258e+12
        33.3773    1.55329e+17    5.16344e+11       0.999989       0.999989    1.55698e+12
        33.5203    1.60703e+17     5.1681e+11       0.999989       0.999989    1.55141e+12
        33.6632    1.66247e+17    5.17274e+11       0.999989       0.999989    1.54585e+12
        33.8062    1.71966e+17    5.17735e+11       0.999988       0.999988    1.54032e+12
        33.9491    1.77863e+17    5.18193e+11        0.99999        0.99999    1.53482e+12
        34.0921    1.83944e+17    5.18649e+11       0.999989       0.999989    1.52935e+12
        34.2351    1.90215e+17    5.19103e+11       0.999988       0.999988    1.52389e+12
         34.378     1.9668e+17    5.19554e+11       0.999988       0.999988    1.51846e+12
         34.521    2.03345e+17    5.20003e+11        0.99999        0.99999    1.51305e+12
        34.6639    2.10216e+17     5.2045e+11       0.999989       0.999989    1.50766e+12
        34.8069    2.17298e+17    5.20894e+11       0.999989       0.999989     1.5023e+12
        34.9498    2.24598e+17    5.21336e+11       0.999988       0.999988    1.49697e+12
        35.0928    2.32121e+17    5.21775e+11       0.999989       0.999989    1.49165e+12
        35.2357    2.39873e+17    5.22213e+11        0.99999        0.99999    1.48636e+12
        35.3787    2.47862e+17    5.22648e+11       0.999989       0.999989    1.48109e+12
        35.5217    2.56092e+17     5.2308e+11       0.999988       0.999988    1.47585e+12
        35.6646    2.64572e+17    5.23511e+11        0.99999        0.99999    1.47064e+12
        35.8076    2.73307e+17    5.23939e+11        0.99999        0.99999    1.46544e+12
        35.9505    2.82305e+17    5.24365e+11        0.99999        0.99999    1.46027e+12
        36.0935    2.91573e+17    5.24789e+11       0.999989       0.999989    1.45512e+12
        36.2364    3.01118e+17     5.2521e+11       0.999989       0.999989       1.45e+12
        36.3794    3.10948e+17     5.2563e+11       0.999988       0.999988     1.4449e+12
        36.5223     3.2107e+17    5.26047e+11       0.999989       0.999989    1.43982e+12
        36.6653    3.31493e+17    5.26463e+11        0.99999        0.99999    1.43477e+12
        36.8083    3.42223e+17    5.26876e+11       0.999991       0.999991    1.42974e+12
        36.9512     3.5327e+17    5.27287e+11       0.999989       0.999989    1.42473e+12
        37.0942    3.64643e+17    5.27696e+11       0.999987       0.999987    1.41975e+12
        37.2371    3.76348e+17    5.28103e+11       0.999988       0.999988    1.41478e+12
        37.3801    3.88397e+17    5.28508e+11       0.999991       0.999991    1.40985e+12
         37.523    4.00796e+17    5.28911e+11       0.999991       0.999991    1.40493e+12
         37.666    4.13557e+17    5.29311e+11       0.999989       0.999989    1.40003e+12
        37.8089    4.26688e+17     5.2971e+11        0.99999        0.99999    1.39515e+12
        37.9519    4.40199e+17    5.30107e+11       0.999989       0.999989     1.3903e+12
        38.0949      4.541e+17    5.30502e+11        0.99999        0.99999    1.38547e+12
        38.2378    4.68401e+17    5.30895e+11       0.999991       0.999991    1.38066e+12
        38.3808    4.83113e+17    5.31287e+11        0.99999        0.99999    1.37587e+12
        38.5237    4.98246e+17    5.31676e+11        0.99999        0.99999     1.3711e+12
        38.6667    5.13811e+17    5.32063e+11       0.999989       0.999989    1.36635e+12
        38.8096    5.29819e+17    5.32449e+11       0.999989       0.999989    1.36163e+12
        38.9526    5.46282e+17    5.32832e+11       0.999989       0.999989    1.35692e+12
        39.0955    5.63212e+17    5.33214e+11       0.999992       0.999992    1.35224e+12
        39.2385     5.8062e+17    5.33594e+11       0.999987       0.999987    1.34758e+12
        39.3815    5.98519e+17    5.33972e+11       0.999989       0.999989    1.34294e+12
        39.5244     6.1692e+17    5.34348e+11       0.999988       0.999988    1.33832e+12
        39.6674    6.35838e+17    5.34723e+11       0.999991       0.999991    1.33372e+12
        39.8103    6.55285e+17    5.35095e+11        0.99999        0.99999    1.32915e+12
        39.9533    6.75274e+17    5.35466e+11       0.999989       0.999989    1.32459e+12
        40.0962     6.9582e+17    5.35835e+11        0.99999        0.99999    1.32005e+12
        40.2392    7.16935e+17    5.36203e+11       0.999992       0.999992    1.31553e+12
        40.3821    7.38635e+17    5.36569e+11       0.999986       0.999986    1.31104e+12
        40.5251    7.60934e+17    5.36933e+11       0.999987       0.999987    1.30656e+12
        40.6681    7.83847e+17    5.37295e+11       0.999991       0.999991    1.30211e+12
         40.811     8.0739e+17    5.37656e+11       0.999986       0.999986    1.29767e+12
         40.954    8.31578e+17    5.38014e+11       0.999992       0.999992    1.29325e+12
        41.0969    8.56426e+17    5.38372e+11        0.99999        0.99999    1.28886e+12
        41.2399    8.81952e+17    5.38727e+11        0.99999        0.99999    1.28448e+12
        41.3828    9.08172e+17    5.39081e+11        0.99999        0.99999    1.28012e+12
        41.5258    9.35104e+17    5.39434e+11       0.999985       0.999985    1.27578e+12
        41.6687    9.62764e+17    5.39784e+11       0.999987       0.999987    1.27147e+12
        41.8117     9.9117e+17    5.40133e+11        0.99999        0.99999    1.26717e+12
        41.9547    1.02034e+18    5.40481e+11       0.999992       0.999992    1.26288e+12
        42.0976     1.0503e+18    5.40827e+11       0.999989       0.999989    1.25862e+12
        42.2406    1.08105e+18    5.41171e+11        0.99999        0.99999    1.25438e+12
        42.3835    1.11263e+18    5.41514e+11       0.999989       0.999989    1.25016e+12
        42.5265    1.14505e+18    5.41855e+11        0.99999        0.99999    1.24595e+12
        42.6694    1.17834e+18    5.42195e+11        0.99999        0.99999    1.24177e+12
        42.8124     1.2125e+18    5.42533e+11        0.99999        0.99999     1.2376e+12
        42.9553    1.24757e+18     5.4287e+11       0.999989       0.999989    1.23345e+12
        43.0983    1.28357e+18    5.43205e+11       0.999989       0.999989    1.22932e+12
        43.2413    1.32051e+18    5.43539e+11       0.999989       0.999989    1.22521e+12
        43.3842    1.35843e+18    5.43871e+11        0.99999        0.99999    1.22112e+12
        43.5272    1.39734e+18    5.44202e+11       0.999989       0.999989    1.21704e+12
        43.6701    1.43726e+18    5.44531e+11       0.999989       0.999989    1.21298e+12
        43.8131    1.47823e+18    5.44859e+11       0.999989       0.999989    1.20894e+12
         43.956    1.52026e+18    5.45185e+11        0.99999        0.99999    1.20492e+12
         44.099    1.56339e+18     5.4551e+11       0.999989       0.999989    1.20092e+12
        44.2419    1.60763e+18    5.45834e+11       0.999989       0.999989    1.19693e+12
        44.3849    1.65301e+18    5.46156e+11       0.999989       0.999989    1.19296e+12
        44.5279    1.69956e+18    5.46477e+11        0.99999        0.99999    1.18901e+12
        44.6708    1.74731e+18    5.46796e+11        0.99999        0.99999    1.18508e+12
        44.8138    1.79629e+18    5.47114e+11       0.999989       0.999989    1.18116e+12
        44.9567    1.84652e+18     5.4743e+11        0.99999        0.99999    1.17726e+12
        45.0997    1.89803e+18    5.47746e+11        0.99999        0.99999    1.17338e+12
