========================================
ch3oh_B1_Energy_1_34.9759.out
0.1 atm
T,R->W1
530.0,1.88067e-12
540.0,1.96135e-12
550.0,2.04219e-12
560.0,2.12261e-12
570.0,2.20282e-12
580.0,2.2831e-12
590.0,2.36287e-12
600.0,2.44161e-12
610.0,2.51964e-12
620.0,2.59723e-12
630.0,2.67381e-12
640.0,2.7491e-12
650.0,2.82331e-12
660.0,2.89674e-12
670.0,2.96937e-12
680.0,3.03996e-12
690.0,3.10915e-12
700.0,3.17702e-12
800.0,3.77292e-12
900.0,4.20889e-12
1000.0,4.49936e-12
1100.0,4.67058e-12
1200.0,4.75452e-12
1300.0,4.77691e-12
1400.0,4.75928e-12
1500.0,4.7176e-12
1600.0,4.66338e-12
1700.0,4.60636e-12
1800.0,4.54912e-12
1900.0,4.49696e-12
2000.0,4.45045e-12
2100.0,4.41177e-12
2200.0,4.37997e-12
2300.0,4.35659e-12
2400.0,4.3403e-12
========================================
ch3oh_B1_Energy_1_34.9759.out
3.0 atm
T,R->P1
200.0,3.16343e-14
210.0,3.77585e-14
220.0,4.46146e-14
230.0,5.22253e-14
240.0,6.05992e-14
250.0,6.98125e-14
260.0,7.99252e-14
270.0,9.09251e-14
280.0,1.02944e-13
290.0,1.15925e-13
300.0,1.30002e-13
310.0,1.452e-13
320.0,1.61503e-13
330.0,1.78963e-13
340.0,1.97757e-13
350.0,2.17731e-13
360.0,2.39118e-13
370.0,2.61719e-13
380.0,2.85825e-13
390.0,3.11321e-13
400.0,3.38191e-13
410.0,3.66427e-13
420.0,3.96258e-13
430.0,4.27541e-13
440.0,4.60175e-13
450.0,4.94204e-13
460.0,5.29794e-13
470.0,5.66722e-13
480.0,6.05168e-13
490.0,6.44819e-13
500.0,6.8601e-13
510.0,7.28323e-13
520.0,7.72048e-13
530.0,8.16778e-13
540.0,8.62839e-13
550.0,9.1005e-13
560.0,9.58131e-13
570.0,1.00721e-12
580.0,1.05743e-12
590.0,1.10851e-12
600.0,1.16015e-12
610.0,1.21252e-12
620.0,1.26577e-12
630.0,1.31957e-12
640.0,1.37369e-12
650.0,1.42827e-12
660.0,1.48347e-12
670.0,1.53916e-12
680.0,1.59471e-12
690.0,1.65041e-12
700.0,1.70635e-12
800.0,2.25921e-12
900.0,2.76608e-12
1000.0,3.19716e-12
1100.0,3.54137e-12
1200.0,3.80295e-12
1300.0,3.99202e-12
1400.0,4.12204e-12
1500.0,4.20635e-12
1600.0,4.25689e-12
1700.0,4.2848e-12
1800.0,4.29621e-12
1900.0,4.2985e-12
2000.0,4.29519e-12
2100.0,4.29032e-12
2200.0,4.28516e-12
2300.0,4.28241e-12
2400.0,4.28222e-12
========================================
ch3oh_B5_Energy_1_34.9759.out
0.1 atm
T,R->P1
200.0,9.96714e-13
210.0,1.16475e-12
220.0,1.34536e-12
230.0,1.53709e-12
240.0,1.73807e-12
250.0,1.94815e-12
260.0,2.16632e-12
270.0,2.39001e-12
280.0,2.62005e-12
290.0,2.85258e-12
300.0,3.08803e-12
310.0,3.32506e-12
320.0,3.56131e-12
330.0,3.79532e-12
340.0,4.02875e-12
350.0,4.25733e-12
360.0,4.48325e-12
370.0,4.70169e-12
380.0,4.91634e-12
390.0,5.12411e-12
400.0,5.32526e-12
410.0,5.5171e-12
420.0,5.70343e-12
430.0,5.88045e-12
440.0,6.04943e-12
450.0,6.20884e-12
460.0,6.36042e-12
470.0,6.50385e-12
480.0,6.63883e-12
490.0,6.76431e-12
500.0,6.88306e-12
510.0,6.99254e-12
520.0,7.09453e-12
530.0,7.1876e-12
540.0,7.27369e-12
550.0,7.35311e-12
560.0,7.42461e-12
570.0,7.48922e-12
580.0,7.54799e-12
590.0,7.60039e-12
600.0,7.6459e-12
610.0,7.68562e-12
620.0,7.72034e-12
630.0,7.74911e-12
640.0,7.77277e-12
650.0,7.79173e-12
660.0,7.80688e-12
670.0,7.81952e-12
680.0,7.82598e-12
690.0,7.82849e-12
700.0,7.82672e-12
800.0,7.6674e-12
900.0,7.33947e-12
1000.0,6.9509e-12
1100.0,6.55646e-12
1200.0,6.19092e-12
1300.0,5.86391e-12
1400.0,5.57939e-12
1500.0,5.33567e-12
1600.0,5.12952e-12
1700.0,4.96007e-12
1800.0,4.81818e-12
1900.0,4.70337e-12
2000.0,4.60994e-12
2100.0,4.53662e-12
2200.0,4.4787e-12
2300.0,4.43611e-12
2400.0,4.40544e-12
========================================
ch3oh_B5_Energy_1_34.9759.out
1.0 atm
T,R->P1
200.0,1.08626e-13
210.0,1.28808e-13
220.0,1.51208e-13
230.0,1.75846e-13
